rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,0.35
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,0.49
rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,0.74
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,0.58
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,0.15
rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,0.21
rnbqkbnr/pp2pppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR b KQkq - 0 4,0.22
r1bqkbnr/pp1npppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 1 5,0.43
r1bqkbnr/pp1npppp/2p5/8/3PN3/5N2/PPP2PPP/R1BQKB1R b KQkq - 2 5,0.55
r1bqkbnr/pp2pppp/2p2n2/8/3PN3/5N2/PPP2PPP/R1BQKB1R w KQkq - 3 6,0.83
r1bqkbnr/pp2pppp/2p2n2/8/3P4/5NN1/PPP2PPP/R1BQKB1R b KQkq - 4 6,0.6
r1bqkbnr/pp2ppp1/2p2n2/7p/3P4/5NN1/PPP2PPP/R1BQKB1R w KQkq - 0 7,0.95
r1bqkbnr/pp2ppp1/2p2n2/7p/3P3P/5NN1/PPP2PP1/R1BQKB1R b KQkq - 0 7,0.38
r2qkbnr/pp2ppp1/2p2n2/7p/3P2bP/5NN1/PPP2PP1/R1BQKB1R w KQkq - 1 8,0.44
r2qkbnr/pp2ppp1/2p2n2/7p/3P2bP/5NN1/PPP1BPP1/R1BQK2R b KQkq - 2 8,0.43
r2qkbnr/pp3pp1/2p1pn2/7p/3P2bP/5NN1/PPP1BPP1/R1BQK2R w KQkq - 0 9,0.47
r2qkbnr/pp3pp1/2p1pn2/7p/3P2bP/5NN1/PPP1BPP1/R1BQ1RK1 b kq - 1 9,0.45
r2qk1nr/pp3pp1/2pbpn2/7p/3P2bP/5NN1/PPP1BPP1/R1BQ1RK1 w kq - 2 10,0.71
r2qk1nr/pp3pp1/2pbpn2/6Bp/3P2bP/5NN1/PPP1BPP1/R2Q1RK1 b kq - 3 10,0.52
r3k1nr/ppq2pp1/2pbpn2/6Bp/3P2bP/5NN1/PPP1BPP1/R2Q1RK1 w kq - 4 11,0.3
r3k1nr/ppq2pp1/2pbpn2/6Bp/3P2bP/5NN1/PPP1BPP1/R2QR1K1 b kq - 5 11,-1.06
r3k1nr/ppq2pp1/2pbpn2/6Bp/3P3P/5bN1/PPP1BPP1/R2QR1K1 w kq - 0 12,0.5
r3k1nr/ppq2pp1/2pbpn2/6Bp/3P3P/5BN1/PPP2PP1/R2QR1K1 b kq - 0 12,0.18
r3k1nr/ppq2pp1/2p1pn2/6Bp/3P3P/5Bb1/PPP2PP1/R2QR1K1 w kq - 0 13,0.3
r3k1nr/ppq2pp1/2p1pn2/6Bp/3P3P/5BP1/PPP3P1/R2QR1K1 b kq - 0 13,0.0
r3k1nr/pp3pp1/2p1pn2/6Bp/3P3P/5Bq1/PPP3P1/R2QR1K1 w kq - 0 14,0.29
r3k1nr/pp3pp1/2p1pn2/6Bp/2PP3P/5Bq1/PP4P1/R2QR1K1 b kq - 0 14,-0.81
r3k1nr/pp3pp1/2p1p3/6Bp/2PP2nP/5Bq1/PP4P1/R2QR1K1 w kq - 1 15,0.38
r3k1nr/pp3pp1/2p1p3/6Bp/2PP2nP/5Bq1/PP1Q2P1/R3R1K1 b kq - 2 15,-1.49
r3k1nr/pp3pp1/2p1p3/6Bp/2PP2nP/5B2/PP1Q2Pq/R3R1K1 w kq - 3 16,-1.52
r3k1nr/pp3pp1/2p1p3/6Bp/2PP2nP/5B2/PP1Q2Pq/R3RK2 b kq - 4 16,-1.27
r3k2r/pp3pp1/2p1pn2/6Bp/2PP2nP/5B2/PP1Q2Pq/R3RK2 w kq - 5 17,-1.31
r3k2r/pp3pp1/2p1pn2/6Bp/2PP1QnP/5B2/PP4Pq/R3RK2 b kq - 6 17,-1.31
r3k2r/pp3pp1/2p1pn2/6Bp/2PP1qnP/5B2/PP4P1/R3RK2 w kq - 0 18,-1.06
r3k2r/pp3pp1/2p1pn2/7p/2PP1BnP/5B2/PP4P1/R3RK2 b kq - 0 18,-0.91
3rk2r/pp3pp1/2p1pn2/7p/2PP1BnP/5B2/PP4P1/R3RK2 w k - 1 19,-0.99
3rk2r/pp3pp1/2p1pn2/7p/2PP1BnP/5B2/PP4P1/3RRK2 b k - 2 19,-0.84
3r1rk1/pp3pp1/2p1pn2/7p/2PP1BnP/5B2/PP4P1/3RRK2 w - - 3 20,-1.04
3r1rk1/pp3pp1/2p1pn2/7p/2PP1BnP/5B2/PP4P1/3RR1K1 b - - 4 20,-1.12
5rk1/pp1r1pp1/2p1pn2/7p/2PP1BnP/5B2/PP4P1/3RR1K1 w - - 5 21,-1.02
